"","webid","name","hlyRange","dlyRange","mlyRange"
"4046",1877,"ELK RIVER ER RS","N/A","1978-04-01/1978-07-31","1978-01-01/1978-12-01"
"4047",1878,"ELLERSLIE","N/A","1964-08-01/1986-12-31","1964-01-01/1986-12-01"
"4048",2508,"ELLS LO","N/A","1961-04-01/2011-09-15","1961-01-01/2007-09-01"
"4049",1803,"ELLSCOTT","N/A","1986-08-01/1995-09-30","1986-01-01/1995-09-01"
"4050",2691,"ELMWORTH","N/A","1926-08-01/1953-04-30","1926-01-01/1953-12-01"
"4051",2693,"ELMWORTH CDA EPF","N/A","1975-02-01/2008-06-03","1975-01-01/2007-11-01"
"4052",2692,"ELMWORTH CDA EPF","N/A","1967-10-01/1972-06-30","1967-01-01/1972-12-01"
"4053",2085,"ELNORA","N/A","1961-07-01/2003-10-31","1961-01-01/2003-10-01"
"4054",1879,"ELNORA SALEM","N/A","1988-08-01/2001-04-30","1988-01-01/2001-04-01"
"4055",2509,"EMBARRAS A","1953-01-01/1962-09-21","1943-02-01/1962-09-30","1943-01-01/1962-12-01"
"4056",2086,"EMPRESS","N/A","1914-11-01/2006-03-31","1914-01-01/2006-03-01"
"4057",2087,"EMPRESS DOT","N/A","1966-11-01/1969-12-31","1966-01-01/1969-12-01"
"4058",2237,"ENCHANT","N/A","1960-06-01/1963-03-31","1960-01-01/1963-12-01"
"4059",42724,"ENCHANT AGDM","2004-06-16/2012-05-16","2004-06-16/2012-05-16","2005-05-01/2007-11-01"
"4060",1880,"ENDIANG","N/A","1962-10-01/1964-12-31","1962-01-01/1964-12-01"
"4061",2510,"ENILDA LO","N/A","1970-06-01/2011-09-29","1970-01-01/2007-09-01"
"4062",27333,"ENILDA-BERG","N/A","1997-08-01/2005-04-30","1997-08-01/2005-04-01"
"4063",2511,"ENTRANCE","N/A","1917-06-01/2006-07-31","1917-01-01/2006-07-01"
"4064",2512,"ENTRANCE RS","N/A","1968-02-01/1971-07-31","1968-01-01/1971-12-01"
"4065",2513,"ENTWISTLE","N/A","1987-09-01/2012-05-16","1987-01-01/2007-11-01"
"4066",2088,"ESTHER","N/A","1980-08-01/2000-09-30","1980-01-01/2000-09-01"
"4067",10225,"ESTHER 1","1994-02-01/2012-05-16","1993-06-04/2012-05-16","1996-05-01/2007-11-01"
"4068",29946,"ESTHER PRATT","N/A","2000-05-01/2003-05-31","2000-05-01/2003-05-01"
"4069",2457,"ETA LAKE","N/A","1989-06-01/2011-09-01","1989-01-01/2007-08-01"
"4070",46732,"ETZICOM AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4071",2694,"EUREKA RIVER","N/A","1962-03-01/2008-04-30","1962-01-01/2007-11-01"
"4072",8919,"EVANS THOMAS","N/A","1998-04-01/2007-11-30","1998-04-01/2007-11-01"
"4073",47072,"EVANSBURG AGCM","2008-06-05/2012-05-16","2008-06-05/2012-05-16","N/A"
"4074",2514,"EVANSBURG CDA EPF","N/A","1962-01-01/1964-04-30","1954-01-01/1964-12-01"
"4075",2089,"EVARTS","N/A","1963-08-01/1972-08-31","1963-01-01/1972-12-01"
"4076",2090,"EXCEL","N/A","1955-10-01/1967-02-28","1955-01-01/1961-12-01"
"4077",2387,"EXSHAW","N/A","1928-06-01/1945-09-30","1928-01-01/1945-12-01"
"4078",1881,"FABYAN","N/A","1966-08-01/2012-05-12","1966-01-01/2007-11-01"
"4079",2695,"FAIRVIEW","N/A","1931-10-01/1991-12-31","1931-01-01/1991-12-01"
"4080",2696,"FAIRVIEW 2","N/A","1957-01-01/1960-08-31","1957-01-01/1960-12-01"
"4081",31469,"FAIRVIEW AGDM","1997-03-31/2012-05-16","2002-02-01/2012-05-16","2002-02-01/2007-11-01"
"4082",2697,"FAIRVIEW FSA","N/A","1956-09-01/1980-09-30","1956-01-01/1980-12-01"
"4083",6862,"FAIRVIEW THREE FOX FARM","N/A","1993-06-01/1999-12-31","1993-01-01/1999-12-01"
"4084",2698,"FALHER","N/A","1948-12-01/1979-09-30","1948-01-01/1979-12-01"
"4085",8825,"FALLEN TIMBER","N/A","1998-04-01/2007-11-30","1998-04-01/2007-11-01"
"4086",1802,"FALLIS","N/A","1987-06-01/1991-03-31","1987-01-01/1991-11-01"
"4087",27650,"FALSE NICHOLAS","N/A","1998-12-01/2007-11-30","2002-03-01/2006-08-01"
"4088",46733,"FERINTOSH AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4089",42727,"FINCASTLE AGDM","2004-06-18/2012-05-16","2004-06-01/2012-05-16","2004-06-01/2007-11-01"
"4090",2091,"FINNEGAN","N/A","1970-06-01/1975-02-28","1970-01-01/1975-12-01"
"4091",2699,"FISH CREEK","N/A","1970-03-01/1974-12-31","1970-01-01/1974-12-01"
"4092",1882,"FIVE LAKES","N/A","1911-05-01/1934-02-28","1911-01-01/1933-12-01"
"4093",2239,"FIVE MILE CREEK","N/A","1985-07-01/2008-02-10","1985-01-01/2007-11-01"
"4094",2515,"FLATTOP LO","N/A","1959-07-01/2011-09-29","1959-01-01/2007-08-01"
"4095",1797,"FLEET","N/A","1987-05-01/1990-09-30","1987-01-01/1990-12-01"
"4096",2330,"FLORANN","N/A","1986-07-01/1990-10-31","1986-01-01/1990-12-01"
"4097",2700,"FOGGY LO","N/A","1967-05-01/2011-09-01","1967-01-01/2007-09-01"
"4098",2701,"FONTAS LO","N/A","1965-04-01/2011-08-22","1965-01-01/2007-08-01"
"4099",2702,"FOOTNER LAKE HQ","N/A","1967-05-01/1969-09-30","1967-01-01/1969-12-01"
"4100",2240,"FOREMOST","N/A","1915-08-01/2005-03-31","1915-01-01/2005-03-01"
"4101",32257,"FOREMOST AGDM","1999-02-23/2012-05-16","2002-12-01/2012-05-16","2002-12-01/2007-11-01"
"4102",2241,"FOREMOST EAST","N/A","1970-05-01/1972-11-30","1970-01-01/1972-12-01"
"4103",2242,"FOREMOST EXP ST","N/A","1954-01-01/1960-07-31","1954-01-01/1960-12-01"
"4104",1883,"FORESTBURG","N/A","1966-02-01/1969-04-30","1966-01-01/1969-12-01"
"4105",46130,"FORESTBURG AGCM","2007-06-27/2012-05-16","2007-06-27/2012-05-16","N/A"
"4106",1884,"FORESTBURG PLANT SITE","N/A","1967-08-01/2012-05-12","1967-01-01/2007-10-01"
"4107",2388,"FORGET ME NOT LO","N/A","1962-07-01/1975-08-31","1962-01-01/1975-12-01"
"4108",8824,"FORGET ME NOT MOUNTAIN","N/A","1998-02-01/2007-11-30","1998-04-01/2007-11-01"
"4109",2458,"FORT ASSINIBOINE","N/A","1969-08-01/1997-11-30","1969-01-01/1997-11-01"
"4110",27331,"FORT ASSINIBOINE 2","N/A","1997-08-01/2008-03-31","1997-08-01/2007-11-01"
"4111",47128,"FORT ASSINIBOINE AGCM","2008-06-05/2012-05-16","2008-06-05/2012-05-16","N/A"
"4112",2517,"FORT ASSINIBOINE RS","N/A","1983-11-01/2008-10-31","1983-01-01/2007-10-01"
"4113",2516,"FORT ASSINIBOINE RS","N/A","1963-04-01/1965-09-30","1963-01-01/1965-12-01"
"4114",10655,"FORT CHIPEWYAN","1989-08-17/1993-10-14","N/A","N/A"
"4115",2703,"FORT CHIPEWYAN","1962-10-04/1967-10-31","1883-10-01/1967-10-31","1883-01-01/1967-12-01"
"4116",2704,"FORT CHIPEWYAN A","1967-11-01/2006-10-30","1967-11-01/2007-08-31","1967-01-01/2007-08-01"
"4117",31608,"FORT CHIPEWYAN AWOS A","2006-01-01/2011-06-30","2006-01-01/2011-06-30","N/A"
"4118",1885,"FORT EDMONTON","N/A","1976-01-01/1986-07-31","1976-01-01/1986-12-01"
"4119",2833,"FORT KENT CDA EPF","N/A","1954-10-01/1965-02-28","1954-01-01/1965-12-01"
"4120",2518,"FORT MACKAY RS","N/A","1964-07-01/1994-09-30","1964-01-01/1994-12-01"
"4121",2243,"FORT MACLEOD","N/A","1876-06-01/1988-03-31","1877-01-01/1988-12-01"
"4122",46734,"FORT MACLEOD AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4123",2244,"FORT MACLEOD EXP ST","N/A","1955-01-01/1962-12-31","1955-01-01/1962-12-01"
"4124",2245,"FORT MACLEOD EXP ST 2","N/A","1955-01-01/1963-03-31","1955-01-01/1963-12-01"
"4125",2238,"FORT MACLEOD NORTH","N/A","1965-11-01/1994-06-30","1965-01-01/1994-12-01"
"4126",2246,"FORT MACLEOD STAND OFF","N/A","1961-07-01/1975-05-31","1961-01-01/1975-12-01"
"4127",2519,"FORT MCMURRAY A","1953-01-01/2008-09-25","1944-01-01/2008-07-24","1944-01-01/2007-11-01"
"4128",31288,"FORT MCMURRAY AWOS A","2008-07-03/2011-10-20","2008-07-03/2011-10-20","N/A"
"4129",27216,"FORT MCMURRAY CS","1999-09-18/2012-05-16","1996-05-01/2012-05-16","1996-05-01/2007-11-01"
"4130",1886,"FORT SASKATCHEWAN","N/A","1958-03-01/2012-05-15","1958-01-01/2007-11-01"
"4131",2705,"FORT VERMILION","N/A","1888-11-01/1917-11-30","1888-01-01/1917-12-01"
"4132",30495,"FORT VERMILION","2000-09-19/2012-05-16","2000-09-29/2012-05-16","2000-12-01/2007-11-01"
"4133",2707,"FORT VERMILION","1955-03-01/1968-02-29","1963-03-01/1963-12-31","1963-01-01/1963-12-01"
"4134",2706,"FORT VERMILION CDA","N/A","1908-07-01/1985-09-30","1908-01-01/1985-12-01"
"4135",2708,"FORT VERMILION RS","N/A","1962-05-01/1989-08-31","1962-01-01/1989-12-01"
"4136",2389,"FORTRESS MOUNTAIN","N/A","1974-12-01/1975-04-30","1975-01-01/1975-12-01"
"4137",2709,"FOX CREEK","N/A","1973-03-01/1973-05-31","1973-01-01/1973-12-01"
"4138",6860,"FOX CREEK JUNCTION","N/A","1991-06-01/2012-04-30","1991-01-01/2007-11-01"
"4139",2710,"FOX CREEK RS","N/A","1966-05-01/1999-10-31","1966-01-01/1999-10-01"
"4140",2454,"FREEMAN RIVER","N/A","1989-06-01/2011-09-01","1989-01-01/2007-09-01"
"4141",1887,"FRISCO","N/A","1966-07-01/1969-06-30","1966-01-01/1969-12-01"
"4142",1888,"FROG LAKE RS","N/A","1975-01-01/1976-10-31","1975-01-01/1976-12-01"
"4143",2520,"FT MCMURRAY","N/A","1908-06-01/1944-11-30","1908-01-01/1944-12-01"
"4144",2390,"FURMAN CLARESHOLM","N/A","1958-10-01/1965-07-31","1958-01-01/1965-12-01"
"4145",1889,"GADSBY","N/A","1953-10-01/1956-08-31","1953-01-01/1956-12-01"
"4146",1890,"GAINFORD","N/A","1970-11-01/1970-11-30","1970-01-01/1970-12-01"
"4147",10932,"GARDEN RIVER","1994-02-01/2012-05-16","1993-11-03/2012-05-16","1996-03-01/2007-10-01"
"4148",2711,"GARDEN RIVER","N/A","1973-08-01/1974-03-31","1973-01-01/1974-12-01"
"4149",8916,"GARDINER CREEK","N/A","1998-02-01/2007-07-31","1998-04-01/2007-07-01"
"4150",2092,"GEM","N/A","1989-11-01/2009-10-30","1989-01-01/2007-11-01"
"4151",1891,"GENESEE","N/A","1974-07-01/1975-03-31","1974-01-01/1975-12-01"
"4152",8920,"GHOST DIVERSION","N/A","1998-04-01/2007-11-30","1998-04-01/2007-11-01"
"4153",2093,"GHOST PINE CREEK","N/A","1979-05-01/1993-05-31","1979-01-01/1993-12-01"
"4154",2391,"GHOST RS","N/A","1958-07-01/1996-09-30","1958-01-01/1996-09-01"
"4155",1858,"GIBBONS","N/A","1983-11-01/2002-09-30","1983-01-01/2002-09-01"
"4156",2712,"GIFT LAKE LO","N/A","1989-05-01/2011-09-29","1989-01-01/2007-09-01"
"4157",46131,"GILT EDGE NORTH AGCM","2007-06-27/2012-05-16","2007-06-27/2012-05-16","N/A"
"4158",2340,"GLASSFORD","N/A","1925-06-01/1937-06-30","1925-01-01/1937-12-01"
"4159",2247,"GLEICHEN","N/A","1903-01-01/2006-03-31","1903-01-01/2006-03-01"
"4160",47073,"GLEICHEN AGCM","2008-06-06/2012-05-16","2008-06-06/2012-05-16","N/A"
"4161",2834,"GLENDON","N/A","N/A","1936-01-01/1947-12-01"
"4162",1892,"GLENEVIS","N/A","1966-06-01/1987-12-31","1966-01-01/1987-12-01"
"4163",47074,"GLENEVIS AGCM","2008-06-05/2012-05-16","2008-06-05/2012-05-16","N/A"
"4164",45748,"GLENWOOD","2006-12-31/2012-05-15","2007-03-01/2012-05-15","2007-03-01/2007-06-01"
"4165",2248,"GLENWOODVILLE EXP ST","N/A","1926-04-01/1963-03-31","1926-01-01/1963-12-01"
"4166",27716,"GOAT'S EYE","N/A","1998-10-01/2007-05-31","2001-11-01/2002-04-01"
"4167",1798,"GOLDEN VALLEY","N/A","1987-05-01/1998-11-30","1987-01-01/1998-11-01"
"4168",2714,"GOODFARE CDA EPF","N/A","1929-04-01/1978-11-30","1929-01-01/1978-12-01"
"4169",1893,"GOODRIDGE RS","N/A","1977-04-01/1987-06-30","1977-01-01/1987-12-01"
"4170",2521,"GOOSE MOUNTAIN LO","N/A","1945-05-01/2011-08-18","1945-01-01/2007-08-01"
"4171",1894,"GOOSEBERRY LAKE","N/A","1983-04-01/1983-08-31","1983-01-01/1983-12-01"
"4172",2522,"GORDON LAKE LO","N/A","1964-05-01/2011-09-14","1964-01-01/2007-09-01"
"4173",2715,"GRANDE CACHE","N/A","1985-08-01/2005-04-30","1985-01-01/2005-04-01"
"4174",29573,"GRANDE CACHE AUTO","N/A","2000-04-01/2007-11-30","2003-04-01/2006-06-01"
"4175",2713,"GRANDE CACHE MILNER","N/A","1976-12-01/1981-10-31","1976-01-01/1981-12-01"
"4176",2716,"GRANDE CACHE RS","N/A","1972-04-01/1994-09-30","1972-01-01/1994-12-01"
"4177",43783,"GRANDE CACHE S.T.P.","N/A","2005-06-01/2008-01-27","2005-06-01/2007-11-01"
"4178",2523,"GRANDE LO","N/A","1965-08-01/2011-09-27","1966-01-01/2007-09-01"
"4179",2717,"GRANDE PRAIRIE","N/A","1922-08-01/1936-10-31","1922-01-01/1936-12-01"
"4180",2718,"GRANDE PRAIRIE A","1953-01-01/2012-05-16","1942-04-01/2012-05-16","1942-01-01/2007-11-01"
"4181",27215,"GRANDE PRAIRIE CR21X","N/A","1996-03-01/2004-05-31","1996-05-01/2004-05-01"
"4182",2249,"GRANUM JUMBO VALLEY","N/A","1967-05-01/1967-10-31","1967-01-01/1967-12-01"
"4183",45647,"GRASSY LAKE","2006-01-22/2012-05-16","2007-01-08/2012-05-16","2007-02-01/2007-11-01"
"4184",2250,"GRASSY LAKE","N/A","1906-06-01/1916-02-29","1906-01-01/1916-12-01"
"4185",2251,"GRASSY LAKE RIVERS DEV","N/A","1958-09-01/1966-11-30","1958-01-01/1966-12-01"
"4186",2392,"GRAVE FLATS LO","N/A","1960-04-01/2011-08-09","1960-01-01/2007-09-01"
"4187",2524,"GROSMONT","N/A","1964-05-01/1975-02-28","1964-01-01/1975-12-01"
"4188",2341,"GROTON","N/A","1927-04-01/1963-07-31","1927-01-01/1963-12-01"
"4189",2525,"GROUARD","N/A","1909-10-01/1945-02-28","1909-01-01/1945-12-01"
"4190",2526,"GROUARD","N/A","1960-03-01/1960-12-31","1960-01-01/1960-12-01"
"4191",27038,"GROUND ZERO AFS","N/A","1995-06-01/2011-09-01","1995-06-01/2007-09-01"
"4192",2719,"GROVEDALE RS","N/A","1978-05-01/2009-01-31","1978-01-01/2007-11-01"
"4193",27801,"GULL LAKE GOLF COURSE","N/A","1999-04-01/2000-06-30","1999-04-01/2000-06-01"
"4194",2720,"GUY","N/A","1981-02-01/1981-03-31","1981-01-01/1981-12-01"
"4195",1895,"GWYNNE","N/A","1975-12-01/2005-03-31","1975-01-01/2005-03-01"
"4196",1896,"HACKETT","N/A","1984-06-01/2007-10-31","1984-01-01/2007-10-01"
"4197",2393,"HAILSTONE BUTTE LO","N/A","1961-07-01/2011-09-01","1961-01-01/2007-09-01"
"4198",1897,"HALKIRK","N/A","1907-04-01/1929-09-30","1907-01-01/1929-12-01"
"4199",46787,"HALKIRK AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4200",2095,"HANNA","N/A","1921-03-01/1985-01-31","1921-01-01/1985-12-01"
"4201",1900,"HARDISTY","N/A","1914-10-01/1959-09-30","1914-01-01/1959-12-01"
"4202",2096,"HARMATTAN","N/A","1908-01-01/1939-03-31","1908-01-01/1939-12-01"
"4203",1901,"HASTINGS LAKE","N/A","1977-11-01/1987-07-31","1977-01-01/1987-12-01"
"4204",47075,"HAWK HILLS AGCM","2008-06-05/2012-05-16","2008-06-05/2012-05-16","N/A"
"4205",2722,"HAWK HILLS LO","N/A","1962-05-01/2011-09-01","1962-01-01/2007-09-01"
"4206",2723,"HAY CAMP TOWER","N/A","1968-06-01/1990-08-31","1968-01-01/1990-12-01"
"4207",2724,"HAY LAKES RS","N/A","1967-05-01/1970-01-31","1967-01-01/1970-12-01"
"4208",2527,"HAY RIVER RS","N/A","1964-04-01/1965-09-30","1964-01-01/1965-12-01"
"4209",2252,"HAYS","N/A","1952-12-01/1970-06-30","1952-01-01/1970-12-01"
"4210",2528,"HEART LAKE LO","N/A","1947-07-01/2011-08-23","1947-01-01/2007-09-01"
"4211",1902,"HEISLER 10S","N/A","1970-05-01/1975-04-30","1970-01-01/1975-12-01"
"4212",2529,"HELDAR","N/A","1923-05-01/1944-10-31","1923-01-01/1944-12-01"
"4213",1903,"HEMARUKA","N/A","1966-09-01/1969-05-31","1966-01-01/1969-12-01"
"4214",46907,"HEMARUKA AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4215",26870,"HENDRICKSON CREEK","1995-08-01/2012-05-16","1995-08-01/2012-05-16","1998-04-01/2007-11-01"
"4216",2253,"HERRONTON","N/A","1965-06-01/1974-10-31","1965-01-01/1974-12-01"
"4217",2254,"HERRONTON EAST","N/A","1965-06-01/2005-03-31","1965-01-01/2005-03-01"
"4218",47076,"HESPERO AGCM","2008-06-05/2012-05-16","2008-06-05/2012-05-16","N/A"
"4219",2725,"HIGH LEVEL A","1967-06-24/1970-10-21","1967-06-01/1970-10-31","1967-01-01/1970-12-01"
"4220",2726,"HIGH LEVEL A","1970-10-21/2012-02-14","1970-10-01/2012-05-16","1970-01-01/2007-11-01"
"4221",2727,"HIGH LEVEL RS","N/A","1962-05-01/1979-10-31","1962-01-01/1979-12-01"
"4222",2530,"HIGH PRAIRIE","N/A","1926-09-01/1977-04-30","1926-01-01/1977-12-01"
"4223",2531,"HIGH PRAIRIE A","N/A","1980-02-01/1995-03-31","1980-01-01/1995-03-01"
"4224",32274,"HIGH PRAIRIE AGDM","2002-12-18/2012-05-16","2002-12-01/2012-05-16","2002-12-01/2007-11-01"
"4225",2532,"HIGH PRAIRIE CDA EPF","N/A","1953-06-01/1962-02-28","1953-01-01/1962-12-01"
"4226",44266,"HIGH PRAIRIE NORTH","N/A","2005-04-18/2011-03-22","2005-08-01/2007-11-01"
"4227",2533,"HIGH PRAIRIE RS","N/A","1968-05-01/1970-06-30","1968-01-01/1970-12-01"
"4228",2728,"HIGH PRAIRIE WEST","N/A","1970-06-01/1982-07-31","1970-01-01/1982-12-01"
"4229",2255,"HIGH RIVER","N/A","1902-08-01/2006-03-31","1902-01-01/2006-03-01"
"4230",2256,"HIGH RIVER RADIO","N/A","1980-06-01/1982-03-31","1980-01-01/1982-12-01"
"4231",2172,"HIGH RIVER TOWERS","N/A","1988-04-01/1993-03-31","1988-01-01/1993-12-01"
"4232",2257,"HIGH RIVER TOWN","N/A","1970-04-01/1989-04-30","1970-01-01/1989-12-01"
"4233",2729,"HIGH ROCK TOWER","N/A","1968-05-01/1974-06-30","1968-01-01/1974-12-01"
"4234",1904,"HIGHVALE","1994-02-01/2006-08-22","1977-11-01/2006-08-31","1977-01-01/2006-08-01"
"4235",2534,"HIGHWAY","N/A","1969-09-01/1999-01-31","1969-01-01/1999-01-01"
"4236",2395,"HIGHWOOD AU (B1)","N/A","1958-07-01/2011-09-30","1958-01-01/2007-09-01"
"4237",2394,"HIGHWOOD HOUSE","N/A","1977-03-01/1977-06-30","1977-01-01/1977-12-01"
"4238",2258,"HILL SPRING","N/A","1990-08-01/2011-10-25","1990-01-01/1995-01-01"
"4239",1905,"HILLIARD","N/A","1980-07-01/1981-11-30","1980-01-01/1981-12-01"
"4240",2097,"HILLSDOWN","N/A","1904-01-01/1960-10-31","1904-01-01/1960-12-01"
"4241",8905,"HINES CREEK","N/A","1963-01-01/1964-04-30","N/A"
"4242",2730,"HINES CREEK EXP ST","N/A","1951-05-01/1958-07-31","1951-01-01/1958-12-01"
"4243",2731,"HINES CREEK RS","N/A","1966-04-01/2009-01-31","1966-01-01/2007-11-01"
"4244",2535,"HINTON","N/A","1956-11-01/1976-10-31","1956-01-01/1976-12-01"
"4245",2455,"HINTON BLUE LAKE CENTRE","N/A","1983-06-01/1993-08-31","1983-01-01/1993-12-01"
"4246",2536,"HINTON FTS","N/A","1964-05-01/1980-04-30","1964-01-01/1980-12-01"
"4247",29926,"HINTON VALLEY","N/A","2000-06-01/2012-05-16","2000-06-01/2007-11-01"
"4248",2023,"HOADLEY","N/A","1966-06-01/1983-02-28","1966-01-01/1983-12-01"
"4249",1906,"HOLDEN","N/A","1961-07-01/1966-09-30","1961-01-01/1966-12-01"
"4250",32395,"HOLDEN AGDM","2001-01-20/2012-05-16","2002-11-01/2012-05-16","2002-12-01/2007-11-01"
"4251",1898,"HOLDEN SOUTH","N/A","1981-08-01/2012-05-15","1981-01-01/2007-11-01"
"4252",2094,"HOMESTEAD CREEK","N/A","1975-05-01/1976-03-31","1975-01-01/1976-12-01"
"4253",2456,"HOPE LAKE","N/A","1981-06-01/1988-06-30","1981-01-01/1988-12-01"
"4254",1799,"HORBURG","N/A","1980-11-01/2009-10-30","1980-01-01/2007-11-01"
"4255",1907,"HORSESHOE LAKE","N/A","1969-06-01/1982-10-31","1969-01-01/1982-12-01"
"4256",27607,"HOTCHKISS","N/A","1998-05-01/2003-07-31","1998-05-01/2003-07-01"
"4257",2732,"HOTCHKISS LO","N/A","1965-06-01/2011-09-01","1965-01-01/2007-08-01"
"4258",2537,"HOUSE MOUNTAIN LO","N/A","1960-05-01/2011-08-23","1960-01-01/2007-09-01"
"4259",2538,"HUCKLEBERRY LO","N/A","1958-06-01/2011-09-01","1958-01-01/2007-09-01"
"4260",1909,"HUGHENDEN","N/A","1972-05-01/1985-07-31","1972-01-01/1985-12-01"
"4261",1908,"HUGHENDEN","N/A","1934-05-01/1972-04-30","1934-01-01/1972-12-01"
"4262",46908,"HUGHENDEN AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4263",42283,"HUGHENDEN SW","N/A","2003-11-01/2009-10-19","2003-11-01/2007-11-01"
"4264",2098,"HUSSAR","N/A","1947-05-01/1961-06-30","1947-01-01/1961-12-01"
"4265",31409,"HUSSAR AGDM","2002-02-04/2012-05-16","2001-12-01/2012-05-16","2001-12-01/2007-11-01"
"4266",2099,"HUTTON EXP ST","N/A","1955-01-01/1958-12-31","1955-01-01/1958-12-01"
"4267",2100,"HUXLEY","N/A","1966-05-01/2003-12-31","1966-01-01/2003-12-01"
"4268",2101,"HUXLEY EAST","N/A","1970-05-01/1980-06-30","1970-01-01/1980-12-01"
"4269",2733,"HYTHE","N/A","1962-09-01/1968-05-31","1962-01-01/1968-12-01"
"4270",2102,"IDDESLEIGH","N/A","1982-06-01/2008-03-31","1982-01-01/2007-11-01"
"4271",2539,"IMPERIAL LO","N/A","1975-08-01/2011-09-28","1975-01-01/2007-09-01"
"4272",1910,"IRMA WEST","N/A","1985-08-01/1987-07-31","1985-01-01/1987-12-01"
"4273",2835,"IRON RIVER","N/A","1925-07-01/1975-08-31","1925-01-01/1975-12-01"
"4274",2836,"IRON RIVER NORTH","N/A","1970-03-01/1972-11-30","1970-01-01/1972-12-01"
"4275",42728,"IRON SPRINGS AGDM","2004-06-16/2012-05-16","2004-06-01/2012-05-16","2004-06-01/2007-11-01"
"4276",2259,"IRON SPRINGS EXP ST","N/A","1955-01-01/2005-06-30","1955-01-01/2005-06-01"
"4277",2396,"IRONSTONE LO","N/A","1961-06-01/2011-08-23","1961-01-01/2007-09-01"
"4278",46807,"IRVINE AGCM","2008-01-09/2012-05-16","2007-09-01/2012-05-16","2007-09-01/2007-11-01"
"4279",27040,"JACKPINE AFS","N/A","1995-06-01/2011-09-01","1995-06-01/2007-09-01"
"4280",8830,"JAMES RIVER HEADWATERS","N/A","1998-02-01/2007-11-30","1998-04-01/2007-11-01"
"4281",2540,"JARVIE","N/A","1969-09-01/1970-06-30","1969-01-01/1970-12-01"
"4282",2541,"JARVIE HAMLET","N/A","1980-08-01/1992-08-31","1980-01-01/1992-12-01"
"4283",27016,"JARVIS LAKE","N/A","1995-01-01/2001-04-30","1995-01-01/2001-04-01"
"4284",2398,"JASPER","1953-01-01/1996-01-31","1926-09-01/1998-09-22","1926-01-01/1996-01-01"
"4285",2397,"JASPER","N/A","1914-01-01/1931-06-30","1916-01-01/1931-12-01"
"4286",2542,"JASPER EAST GATE","N/A","1971-01-01/2008-02-29","1971-01-01/2007-11-01"
"4287",1911,"JASPER PLACE SCHOOL","N/A","1962-11-01/1966-05-31","1962-01-01/1966-12-01"
"4288",10223,"JASPER WARDEN","1994-02-01/2012-05-16","1994-03-22/2012-05-16","1996-01-01/2007-11-01"
"4289",2399,"JASPER WEST GATE","N/A","1974-07-01/2000-08-31","1974-01-01/2000-08-01"
"4290",2543,"JASPER-HINTON","N/A","1972-08-01/2007-11-30","1972-01-01/2006-06-01"
"4291",47077,"JEAN COTE AGCM","2008-06-11/2012-05-16","2008-06-11/2012-05-16","N/A"
"4292",2734,"JEAN D'OR RS","N/A","1969-12-01/1973-04-30","1969-01-01/1970-12-01"
"4293",2735,"JEAN LO","N/A","1963-07-01/2011-08-22","1963-01-01/2007-08-01"
"4294",2103,"JENNER","N/A","1915-08-01/2008-01-31","1915-01-01/2007-11-01"
"4295",27655,"JOB CREEK","N/A","1998-06-01/2007-09-30","1998-06-01/2007-09-01"
"4296",2643,"JOHN WAYNE PONDEROSA","N/A","1989-06-01/1994-10-31","1989-01-01/1994-12-01"
"4297",2544,"JOHNSON LAKE LO","N/A","1965-05-01/2011-08-23","1965-01-01/2007-08-01"
"4298",2260,"JUMPING POUND","N/A","1905-09-01/1916-08-31","1905-01-01/1916-12-01"
"4299",2400,"JUNCTION LO","N/A","1963-05-01/2011-08-23","1963-01-01/2007-09-01"
"4300",2736,"KAKWA","N/A","1990-05-01/2011-09-30","1990-01-01/2007-09-01"
"4301",2737,"KAKWA LO","N/A","1956-04-01/2011-09-01","1956-01-01/2007-09-01"
"4302",2401,"KAKWA NOTUS","N/A","1972-04-01/1972-09-30","1972-01-01/1972-12-01"
"4303",2402,"KANANASKIS","N/A","1939-08-01/2012-05-14","1939-01-01/2007-11-01"
"4304",2403,"KANANASKIS BOUNDARY RS","N/A","1962-04-01/1986-09-30","1962-01-01/1986-12-01"
"4305",2405,"KANANASKIS LO","N/A","1958-07-01/2011-08-23","1958-01-01/2007-09-01"
"4306",2404,"KANANASKIS POCATERRA","N/A","1976-10-01/2012-05-10","1976-01-01/2007-11-01"
"4307",2545,"KAYBOB 3","N/A","1973-10-01/2011-04-04","1973-01-01/2007-11-01"
"4308",2546,"KEANE LO","N/A","1961-06-01/2004-07-31","1961-01-01/2003-04-01"
"4309",2740,"KEG LO","N/A","1960-04-01/2011-08-23","1960-01-01/2007-08-01"
"4310",2738,"KEG RIVER","N/A","1935-07-01/1980-04-30","1935-01-01/1979-12-01"
